trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9}",20,0,-58.35969761364525,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.4, 'e': 0.81}",20,8,-99.49789563718812,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
3,False,"{'a': 0.4, 'e': 0.7290000000000001}",30,2,-95.44270122263391,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 2}",1
4,False,"{'a': 0.4, 'e': 0.6561}",30,19,-27.194789996905985,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.4, 'e': 0.5904900000000001}",25,1,-10.678163791615704,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.4, 'e': 0.531441}",20,0,-68.87189365646005,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.4782969000000001}",20,7,-1.7942211596252813,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.4, 'e': 0.4304672100000001}",30,16,-17.067874302125038,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
9,False,"{'a': 0.4, 'e': 0.3874204890000001}",20,0,-106.31481491533897,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.3486784401000001}",20,12,10.504052619063117,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.4, 'e': 0.31381059609000006}",20,13,-28.753138323642233,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.4, 'e': 0.2824295364810001}",20,3,-12.541964026211861,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.4, 'e': 0.2541865828329001}",25,0,-284.330340395441,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 6}",0
14,False,"{'a': 0.4, 'e': 0.2287679245496101}",30,13,-10.469150076628747,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.4, 'e': 0.20589113209464907}",25,0,-119.60013897618165,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.18530201888518416}",30,0,32.70395717782467,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.4, 'e': 0.16677181699666577}",30,12,-1.9995471812229768,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.4, 'e': 0.15009463529699918}",20,14,10.279114713150808,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.13508517176729928}",25,2,9.51012048363915,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
