trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.02984120705013,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,10,-26.762585980048296,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,3,-29.839976106387244,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.669683567778705,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.13156186419839,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,13,-17.926182757292406,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-240.84505302834293,"{0: 20, 1: 3, 2: 7, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.39524784910243,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.3694955398433,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.72443280692195,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,14,7.42950295785779,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.285707291978156,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.5698639973056,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.518609334871584,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.35417362507522,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.07845486934375,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.28303541877791,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.58864005179764,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.5358394894757,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.1272862909139,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.16743043262161,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.5883341911206,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.71418738446309,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.04168589725202,"{0: 15, 1: 6, 2: 0, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.7917452334153,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-184.9240879858402,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-37.40656442248958,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-52.22795952809884,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,7,-130.0055859263654,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.9707044452935,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
